external_data,Category1
moebel_146,Schlafen
moebel_145,Schlafen
moebel_903,Schlafen
moebel_265,Schlafen
moebel_619,Schlafen
moebel_548,Schlafen
moebel_277,Schlafen
moebel_272,Schlafen
moebel_1114,Schlafen
moebel_732,Schlafen
moebel_733,Schlafen
moebel_734,Schlafen
moebel_1113,Schlafen
moebel_273,Schlafen
moebel_609,Schlafen
moebel_926,Schlafen
moebel_564,Schlafen
moebel_719,Schlafen
moebel_720,Schlafen
moebel_563,Schlafen
moebel_562,Schlafen
moebel_1140,Schlafen
moebel_262,Schlafen
moebel_275,Schlafen
moebel_759,Schlafen
moebel_712,Schlafen
moebel_717,Schlafen
moebel_716,Schlafen
moebel_714,Schlafen
moebel_715,Schlafen
moebel_713,Schlafen
moebel_263,Schlafen
moebel_595,Schlafen
moebel_1115,Schlafen
moebel_1116,Schlafen
moebel_879,Schlafen
moebel_877,Schlafen
moebel_881,Schlafen
moebel_9,Wohnen
moebel_859,Wohnen
moebel_388,Wohnen
moebel_584,Wohnen
moebel_1272,Wohnen
moebel_620,Wohnen
moebel_392,Wohnen
moebel_393,Wohnen
moebel_917,Wohnen
moebel_961,Wohnen
moebel_677,Wohnen
moebel_135,Wohnen
moebel_857,Wohnen
moebel_1212,Wohnen
moebel_740,Wohnen
moebel_868,Wohnen
moebel_860,Wohnen
moebel_863,Wohnen
moebel_864,Wohnen
moebel_861,Wohnen
moebel_246,Wohnen
moebel_136,Wohnen
moebel_622,Wohnen
moebel_869,Wohnen
moebel_875,Wohnen
moebel_870,Wohnen
moebel_874,Wohnen
moebel_873,Wohnen
moebel_866,Wohnen
moebel_867,Wohnen
moebel_872,Wohnen
moebel_871,Wohnen
moebel_9057,Wohnen
moebel_9058,Wohnen
moebel_9059,Wohnen
moebel_9061,Wohnen
moebel_9060,Wohnen
moebel_65,Wohnen
moebel_90,Wohnen
moebel_1010,Wohnen
moebel_1011,Wohnen
moebel_1012,Wohnen
moebel_1014,Wohnen
moebel_1013,Wohnen
moebel_87,Wohnen
moebel_86,Wohnen
moebel_4103,Wohnen
moebel_88,Wohnen
moebel_89,Wohnen
moebel_9067,Wohnen
moebel_9074,Wohnen
moebel_9072,Wohnen
moebel_9075,Wohnen
moebel_9073,Wohnen
moebel_922,Wohnen
moebel_813,Wohnen
moebel_817,Wohnen
moebel_820,Wohnen
moebel_819,Wohnen
moebel_814,Wohnen
moebel_815,Wohnen
moebel_816,Wohnen
moebel_818,Wohnen
moebel_821,Wohnen
moebel_822,Wohnen
moebel_827,Wohnen
moebel_828,Wohnen
moebel_826,Wohnen
moebel_829,Wohnen
moebel_825,Wohnen
moebel_824,Wohnen
moebel_823,Wohnen
moebel_830,Wohnen
moebel_831,Wohnen
moebel_832,Wohnen
moebel_835,Wohnen
moebel_833,Wohnen
moebel_834,Wohnen
moebel_809,Wohnen
moebel_810,Wohnen
moebel_811,Wohnen
moebel_812,Wohnen
moebel_666,Wohnen
moebel_683,Wohnen
moebel_838,Wohnen
moebel_682,Wohnen
moebel_35,Wohnen
moebel_680,Wohnen
moebel_128,Wohnen
moebel_681,Wohnen
moebel_146,Wohnen
moebel_145,Wohnen
moebel_9055,Wohnen
moebel_9056,Wohnen
moebel_13,Wohnen
moebel_928,Wohnen
moebel_98,Wohnen
moebel_101,Wohnen
moebel_103,Wohnen
moebel_100,Wohnen
moebel_99,Wohnen
moebel_844,Wohnen
moebel_102,Wohnen
moebel_61,Wohnen
moebel_1211,Wohnen
moebel_631,Wohnen
moebel_594,Wohnen
moebel_528,Wohnen
moebel_77,Wohnen
moebel_592,Wohnen
moebel_850,Wohnen
moebel_80,Wohnen
moebel_527,Wohnen
moebel_751,Wohnen
moebel_34,Wohnen
moebel_4054,Wohnen
moebel_4074,Wohnen
moebel_4036,Wohnen
moebel_454,Wohnen
moebel_4182,Wohnen
moebel_457,Wohnen
moebel_680,Wohnen
moebel_118,Wohnen
moebel_4026,Wohnen
moebel_455,Wohnen
moebel_4057,Wohnen
moebel_145,Wohnen
moebel_458,Wohnen
moebel_753,Wohnen
moebel_4067,Wohnen
moebel_4072,Wohnen
moebel_4069,Wohnen
moebel_4068,Wohnen
moebel_679,Wohnen
moebel_603,Wohnen
moebel_884,Wohnen
moebel_8915,Wohnen
moebel_885,Wohnen
moebel_886,Wohnen
moebel_667,Wohnen
moebel_683,Wohnen
moebel_838,Wohnen
moebel_9051,Wohnen
moebel_4001,Wohnen
moebel_9053,Wohnen
moebel_4037,Wohnen
moebel_128,Wohnen
moebel_681,Wohnen
moebel_146,Wohnen
moebel_145,Wohnen
moebel_4038,Wohnen
moebel_12,Wohnen
moebel_585,Wohnen
moebel_448,Wohnen
moebel_96,Wohnen
moebel_94,Wohnen
moebel_14,Wohnen
moebel_509,Wohnen
moebel_104,Wohnen
moebel_108,Wohnen
moebel_107,Wohnen
moebel_106,Wohnen
moebel_593,Wohnen
moebel_105,Wohnen
moebel_847,Wohnen
moebel_845,Wohnen
moebel_195,Wohnen
moebel_900,Wohnen
moebel_878,Wohnen
moebel_879,Wohnen
moebel_877,Wohnen
moebel_880,Wohnen
moebel_891,Wohnen
moebel_894,Wohnen
moebel_11,Wohnen
moebel_55,Wohnen
moebel_53,Wohnen
moebel_54,Wohnen
moebel_965,Wohnen
moebel_1255,Wohnen
moebel_632,Wohnen
moebel_657,Wohnen
moebel_1217,Wohnen
moebel_1214,Wohnen
moebel_1215,Wohnen
moebel_1216,Wohnen
moebel_56,Wohnen
moebel_752,Wohnen
moebel_653,Wohnen
moebel_79,Wohnen
moebel_854,Wohnen
moebel_4112,Wohnen
moebel_852,Wohnen
moebel_855,Wohnen
moebel_851,Wohnen
moebel_9071,Wohnen
moebel_889,Wohnen
moebel_265,Wohnen
moebel_619,Wohnen
moebel_548,Wohnen
moebel_277,Wohnen
moebel_272,Wohnen
moebel_732,Wohnen
moebel_733,Wohnen
moebel_734,Wohnen
moebel_273,Wohnen
moebel_609,Wohnen
moebel_926,Wohnen
moebel_564,Wohnen
moebel_719,Wohnen
moebel_720,Wohnen
moebel_563,Wohnen
moebel_562,Wohnen
moebel_262,Wohnen
moebel_275,Wohnen
moebel_759,Wohnen
moebel_712,Wohnen
moebel_717,Wohnen
moebel_716,Wohnen
moebel_714,Wohnen
moebel_715,Wohnen
moebel_713,Wohnen
moebel_266,Wohnen
moebel_1226,Wohnen
moebel_1114,Wohnen
moebel_1113,Wohnen
moebel_1140,Wohnen
moebel_525,Wohnen
moebel_549,Wohnen
moebel_263,Wohnen
moebel_4556,Wohnen
moebel_8909,Wohnen
moebel_950,Wohnen
