external_data,Category1
moebel_934,Baumarkt
moebel_988,Baumarkt
moebel_989,Baumarkt
moebel_990,Baumarkt
moebel_981,Baumarkt
moebel_994,Baumarkt
moebel_991,Baumarkt
moebel_992,Baumarkt
moebel_8961,Baumarkt
moebel_1019,Baumarkt
moebel_1020,Baumarkt
moebel_1024,Baumarkt
moebel_1023,Baumarkt
moebel_1022,Baumarkt
moebel_1021,Baumarkt
moebel_348,Baumarkt
moebel_908,Baumarkt
moebel_642,Baumarkt
moebel_4552,Baumarkt
moebel_1033,Baumarkt
moebel_4007,Baumarkt
moebel_351,Baumarkt
moebel_482,Baumarkt
moebel_484,Baumarkt
moebel_486,Baumarkt
moebel_485,Baumarkt
moebel_483,Baumarkt
moebel_763,Baumarkt
moebel_522,Baumarkt
moebel_481,Baumarkt
moebel_27,Büromöbel
moebel_1093,Büromöbel
moebel_1098,Büromöbel
moebel_1094,Büromöbel
moebel_1095,Büromöbel
moebel_1099,Büromöbel
moebel_1096,Büromöbel
moebel_1097,Büromöbel
moebel_337,Büromöbel
moebel_440,Büromöbel
moebel_438,Büromöbel
moebel_437,Büromöbel
moebel_957,Büromöbel
moebel_958,Büromöbel
moebel_439,Büromöbel
moebel_959,Büromöbel
moebel_558,Büromöbel
moebel_273,Büromöbel
moebel_609,Büromöbel
moebel_926,Büromöbel
moebel_564,Büromöbel
moebel_719,Büromöbel
moebel_720,Büromöbel
moebel_563,Büromöbel
moebel_562,Büromöbel
moebel_278,Büromöbel
moebel_262,Büromöbel
moebel_275,Büromöbel
moebel_759,Büromöbel
moebel_712,Büromöbel
moebel_717,Büromöbel
moebel_716,Büromöbel
moebel_714,Büromöbel
moebel_715,Büromöbel
moebel_713,Büromöbel
moebel_605,Büromöbel
moebel_334,Büromöbel
moebel_928,Büromöbel
moebel_430,Büromöbel
moebel_432,Büromöbel
moebel_709,Büromöbel
moebel_431,Büromöbel
moebel_429,Büromöbel
moebel_428,Büromöbel
moebel_332,Büromöbel
moebel_425,Büromöbel
moebel_612,Büromöbel
moebel_427,Büromöbel
moebel_426,Büromöbel
moebel_1218,Büromöbel
moebel_331,Büromöbel
moebel_421,Büromöbel
moebel_4178,Büromöbel
moebel_419,Büromöbel
moebel_581,Büromöbel
moebel_451,Büromöbel
moebel_420,Büromöbel
moebel_610,Büromöbel
moebel_333,Büromöbel
moebel_611,Büromöbel
moebel_9068,Büromöbel
moebel_9069,Büromöbel
moebel_423,Büromöbel
moebel_422,Büromöbel
moebel_672,Büromöbel
moebel_9070,Büromöbel
moebel_674,Büromöbel
moebel_1100,Büromöbel
